,Category,Question
0,Educational resources,librarys open hours
1,Educational resources,access librarys resources remotely
2,Educational resources,library regulations borrow book
3,Educational resources,renew borrow book
4,Educational resources,fin late return library materials
5,Educational resources,request book another library interlibrary loan
6,Educational resources,type databases available students kozminski university
7,Educational resources,access online databases offcampus
8,Educational resources,process request article online database
9,Educational resources,workshops train sessions use library resources
10,Educational resources,reserve study room library
11,Educational resources,service provide write center
12,Educational resources,online tutorials use specific research databases
13,Educational resources,access ebooks librarys website
14,Educational resources,cite source use different citation style
15,Educational resources,librarys policies photocopy print
16,Educational resources,find specific book journal available library
17,Educational resources,online resources improve academic write skills
18,Educational resources,search academic article use library databases
19,Educational resources,process suggest new book librarys collection
20,Educational resources,restrictions borrow materials holiday
21,Educational resources,access past exam paper course
22,Educational resources,process access rare special collections
23,Educational resources,library events book club students
24,Educational resources,access audiovisual materials library
25,Educational resources,access research databases graduate kozminski university
26,Educational resources,resources improve time management study skills
27,Educational resources,request assistance find relevant source research
28,Educational resources,resources available learn academic integrity plagiarism
29,Educational resources,access newspapers magazines librarys databases
30,Educational resources,search specific article within database
31,Educational resources,resources learn copyright fair use
32,Educational resources,reserve computer workstation library
33,Educational resources,process suggest new online database subscription
34,Educational resources,language resources available nonnative english speakers
35,Educational resources,access online journals scholarly article
36,Educational resources,librarys policies use mobile devices within premise
37,Educational resources,access online video tutorials use library resources
38,Educational resources,service reference desk provide
39,Educational resources,access librarys digital archive special collections
40,Educational resources,access eresources im abroad study exchange
41,Educational resources,get help format research paper
42,Educational resources,librarys policies food drink
43,Educational resources,resources improve presentation public speak skills
44,Educational resources,download ebooks librarys website
45,Educational resources,access resources relate career development job search
46,Educational resources,access research materials languages english
47,Educational resources,librarys policies use personal laptops library
48,Educational resources,access research guide specific subject areas
49,Educational resources,resources learn academic research ethics
50,Educational resources,access past dissertations theses kozminski university
51,Educational resources,librarys policies use group study room
52,Educational resources,access statistical data market research report
53,Educational resources,request interlibrary loan audiovisual materials
54,Educational resources,access online resources learn entrepreneurship
55,Educational resources,librarys policies noise level quiet study areas
56,Educational resources,access financial databases report
57,Educational resources,resources improve critical think problemsolving skills
58,Educational resources,search specific book within librarys catalog
59,Educational resources,access resources learn digital market strategies
60,Educational resources,librarys policies use librarys computers game
61,Educational resources,access resources relate sustainability corporate social responsibility
62,Educational resources,access industry report market analysis library databases
63,Educational resources,request assistance cite source specific citation style
64,Educational resources,librarys policies use electronic devices quiet zone
65,Educational resources,access resources learn international business practice
66,Educational resources,access historical newspapers primary source document
67,Educational resources,request assistance find specific data research project
68,Educational resources,librarys policies use librarys wifi network
69,Educational resources,access resources learn leadership management skills
70,Educational resources,access case study business success stories library databases
71,Educational resources,request assistance literature review research synthesis
72,Educational resources,librarys policies use library materials online course
73,Educational resources,access resources learn cultural diversity inclusion
74,Educational resources,access resources learn innovation technology trend
75,Educational resources,request assistance evaluate credibility online source
76,Educational resources,librarys policies reserve library materials advance
77,Educational resources,access resources learn financial market investments
78,Educational resources,access resources learn crosscultural communication
79,Educational resources,request assistance formulate research question hypotheses
80,Educational resources,librarys policies use library materials commercial purpose
81,Educational resources,access resources learn ethical business practice
82,Educational resources,access resources learn supply chain management
83,Educational resources,request assistance conduct systematic literature review
84,Educational resources,librarys policies access library resources alumni
85,Educational resources,access resources learn consumer behavior market
86,Educational resources,access resources learn data analytics visualization
87,Educational resources,request assistance organize manage research materials
88,Educational resources,librarys policies access library resources visit scholar
89,Educational resources,access resources learn negotiation conflict resolution
90,Educational resources,access resources learn international trade economics
91,Educational resources,request assistance develop research methodology
92,Educational resources,librarys policies access library resources guest lecturer
93,Educational resources,access resources learn business ethics corporate governance
94,Educational resources,access resources learn human resource management
95,Educational resources,request assistance conduct survey interview research
96,Educational resources,librarys policies access library resources academic conferences
97,Educational resources,access resources learn digital innovation entrepreneurship
98,Educational resources,access resources learn organizational behavior psychology
99,Educational resources,request assistance analyze qualitative data research
100,Educational resources,access online tutorials use library resources effectively
101,Educational resources,specific databases conduct market research
102,Educational resources,process access archive newspapers magazines
103,Educational resources,request assistance use citation management tool
104,Educational resources,access resources learn business law regulations
105,Educational resources,access resources learn international finance economics
106,Educational resources,resources learn project management strategies
107,Educational resources,access resources learn corporate strategy plan
108,Educational resources,process access resources leadership development
109,Educational resources,request assistance develop literature review research
110,Educational resources,access resources learn sustainable business practice
111,Educational resources,resources learn digital transformation industries
112,Educational resources,access resources learn consumer psychology behavior
113,Educational resources,process access databases relate entrepreneurship
114,Educational resources,request assistance use statistical software data analysis
115,Educational resources,access resources learn international market trend
116,Educational resources,resources learn social media market strategies
117,Educational resources,access resources learn organizational change management
118,Educational resources,process access resources negotiation conflict resolution
119,Educational resources,request assistance find case study business analysis
120,Educational resources,access resources learn crosscultural management
121,Educational resources,resources learn supply chain optimization logistics
122,Educational resources,access resources learn business analytics big data
123,Educational resources,process access databases relate entrepreneurship
124,Educational resources,request assistance use statistical software data analysis
125,Educational resources,access resources learn international market trend
126,Educational resources,resources learn social media market strategies
127,Educational resources,access resources learn organizational change management
128,Educational resources,process access resources negotiation conflict resolution
129,Educational resources,request assistance find case study business analysis
130,Educational resources,access resources learn crosscultural management
131,Educational resources,resources learn supply chain optimization logistics
132,Educational resources,access resources learn business analytics big data
133,Educational resources,process access databases relate entrepreneurship
134,Educational resources,request assistance use statistical software data analysis
135,Educational resources,access resources learn international market trend
136,Educational resources,resources learn social media market strategies
137,Educational resources,access resources learn organizational change management
138,Educational resources,process access resources negotiation conflict resolution
139,Educational resources,request assistance find case study business analysis
140,Educational resources,access resources learn crosscultural management
141,Educational resources,resources learn supply chain optimization logistics
142,Educational resources,access resources learn business analytics big data
143,Educational resources,process access databases relate entrepreneurship
144,Educational resources,request assistance use statistical software data analysis
145,Educational resources,access resources learn international market trend
146,Educational resources,resources learn social media market strategies
147,Educational resources,access resources learn organizational change management
148,Educational resources,process access resources negotiation conflict resolution
149,Educational resources,request assistance find case study business analysis
150,Educational resources,access resources learn crosscultural management
151,Educational resources,resources learn supply chain optimization logistics
152,Educational resources,access resources learn business analytics big data
153,Educational resources,process access databases relate entrepreneurship
154,Educational resources,request assistance use statistical software data analysis
155,Educational resources,access resources learn international market trend
156,Educational resources,resources learn social media market strategies
157,Educational resources,access resources learn organizational change management
158,Educational resources,process access resources negotiation conflict resolution
159,Educational resources,request assistance find case study business analysis
160,Educational resources,access resources learn crosscultural management
161,Educational resources,resources learn supply chain optimization logistics
162,Educational resources,access resources learn business analytics big data
163,Educational resources,process access databases relate entrepreneurship
164,Educational resources,request assistance use statistical software data analysis
165,Educational resources,access resources learn international market trend
